"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Pasta kokt m. salt fullkorn>50%";3828;"Pasta, ris, gryn";161;672;1;5.8;29.9;3.7;59;0;0.6;0.7;0;0.7;0;0;35;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.4;0.4;0;0;0;0;0;0;0;0;0;0;0.1;0.3;0.08;0.01;1.58;2.6;0.06;8.4;0;0;113;23.5;1.5;17;62;41;153;0.4;2.8;0.9;0
"Ägg rått eko.";3840;"Ägg, rom, kaviar";141;592;10.1;12.4;0.4;0;75.9;0;0.9;0.4;0.4;0;0;0;0;2.9;0;0;0;2.1;0.8;0;4;0.3;3.6;1.5;1.2;0.1;0.1;0;0;0.1;389.1;252.6;251.8;1;3.57;5.9;25.7;0.07;0.46;0;3.1;0.1;83.6;2.17;0;190;46.3;2;54;137;11;140;0.4;27.2;1.3;12
"Äggula rå eko.";3841;"Ägg, rom, kaviar";327;1367;29.2;16.2;0.6;0;49.1;0;2.3;0.6;0.3;0.3;0;0;0;8.3;0;0;0.1;5.9;2.2;0;11.4;0.8;10.4;4.4;3.4;0.2;0.4;0;0;0.4;1137;770.6;768;6;9.15;17.8;61.6;0.21;0.56;0;4;0.25;247.3;6.13;0;513;120;3.3;144;109;12;56;0.1;58.6;3.2;0
"Dinkel speltvete kokt m. salt";3845;"Pasta, ris, gryn";135;567;1.3;4.6;24.4;3.5;64.8;0;1.5;0.3;0;0.3;0;0;38;0.2;0;0;0;0.1;0;0;0.2;0;0.2;0.6;0.5;0;0;0;0;0;0;0.1;0;1;0;0.3;;0.09;0.02;2.18;2.95;0.06;7.8;0;0;139;42.9;1.4;10;102;42;333;0.8;0;1.2;0
"Huvudsallat";3938;"Grönsaker, baljväxter, svamp";16;68;0.6;0.9;1.2;1.2;94.4;0;1.1;1;0.9;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.4;0;0.1;0;0;0;0;0;150;0;1800;0;0.6;;0.15;0.03;0.5;0.65;0.08;57;0;7;43;2;1.5;53;360;8;5;0;0.5;0.4;11
"Majskrokar";4011;"Snacks";410;1716;3.6;8.9;84.2;0;2.8;0;0.5;0.7;0.2;0.5;0;0;0;0.5;0;0;0;0.4;0.1;0;1;0;1;1.6;1.6;0;0;0;0;0;0;5.7;0;28;0;0.2;0;0.04;0.03;1.15;2;0.14;0;0;0;90;0;0.4;7;140;26;0;0;0;0.6;0
"Wasabi pasta";4025;"Smaksättare";280;1170;10.9;2.2;40;6.1;31.7;0;9;13.2;4.8;8.4;0;0;0;1.8;0;0;0;1.5;0.2;0.1;4.4;0;3.9;4.6;3.2;0.1;0;0;0;0;0;0.2;0;2;0;3.9;3.5;0.05;0.07;0.16;0.5;0.05;10;0;0;26;1;0.5;41;182;21;3390;8.5;2.2;0.6;0
"Frukt torkad m. socker";4026;"Frukt, bär";338;1416;0;0;81.3;4.2;14;0;0.6;78.4;39.2;39.2;59;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.5;0;207;0;0.4;0;0;0;0;0;0;0;0;0;0;1;0.3;40;8;0;230;0.6;0;0;0
"Tranbär torkade";4049;"Frukt, bär";309;1294;0.6;0;72.1;5.6;21.4;0;0.2;70.5;67.1;3.4;42;62;0;0;0;0;0;0;0;0;0.4;0;0.4;0.1;0;0;0;0;0;0;0;1.7;0;21;0;1.5;8.9;0;0.07;0.06;0.1;0.03;0;0;0;9;0;0.3;10;79;5;0;0;0;0;0
"Mâchesallat";4052;"Grönsaker, baljväxter, svamp";19;80;0.2;2.6;0.8;1.8;93.5;0;1.1;0.2;0.2;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0;246.4;0;2920;0;1.5;377;0.03;0.13;0.7;1.1;0.14;90.9;0;35.3;30;1;1.8;71;350;22;3;0;0;0.2;0
"Hampfröolja";4074;"Fett, olja";883;3696;99.9;0;0;0;0.1;0;0;0;0;0;0;0;0;9.5;0;0;0;5.8;2.3;0.8;11.1;0.1;10.6;79;57.2;21.6;0;0;0;0;0;0;0;0;0;2.6;;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0
"Hushållsmargarin mjölkfri fett 80% berikad typ Milda";4095;"Fett, olja";707;2960;80;0;0;0;19;0;1;0;0;0;0;0;0;32;0.3;2;1.1;23.4;2.6;0;30;0;33.8;18;10.3;4.3;0;0;0;0;0;800;760;480;20;11;;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;400;1;0;0;0
"Lättmargarin fett 40% berikad typ Coop";4105;"Fett, olja";358;1497;40;0.5;0.5;0;57.5;0;1.5;0.5;0;0.5;0;0;0;11.5;0.9;2.6;1.2;5.5;1;0.2;18.6;0.1;17.9;8.3;5.4;2.8;0;0;0;0;0;900;875;300;7.5;7;;0;0;0;0.08;0;0;0;0;0;1;0;0;0;0;600;1.5;0;0;0
"Bordsmargarin fett 60% berikad typ Ica Basic";4107;"Fett, olja";535;2237;60;0.5;0.5;0;38;0;1;0.5;0;0.5;0;0;0;19.8;1.1;4.2;1.7;10.2;2.2;0.3;27;0.1;26.4;10.5;7.7;2.7;0;0;0;0;0;900;855;540;7.5;7.5;;0;0;0;0.08;0;0;0;0;0;0.4;0;0;0;0;400;1;0;0;0
"Hushållsmargarin fett 80% berikad typ ICA";4112;"Fett, olja";710;2968;80;0.2;0.3;0;18;0;1.5;0.3;0;0.3;0;0;0;27.3;0;0.1;0.5;21.7;4.3;0.4;37;0.2;36.4;12.3;10;2.4;0;0;0;0;0;800;760;480;19.5;10;;0;0;0;0.03;0;0;0;0;0;0.4;0;0;0;0;600;1.5;0;0;0
"Nudlar kokta m. kryddor";4117;"Rätter";102;427;4.3;2.4;11.8;3.1;76.9;0;1.4;0.6;0;0.6;0;0;0;1.4;0;0;0;1.2;0.2;0;1.2;0;1.2;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0.5;;0.3;0.01;0.29;0.75;0.03;12.9;0;0;28;2;0.3;100;43;8;464;1.2;0.7;0.3;0
"Palmolja";4131;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;47.1;0;0.1;1;40.5;4.8;0.4;38.5;0.2;38.1;10;9.8;0.3;0;0;0;0;0;1642;0;15430;0;17.9;16.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ägg stekt eko.";4134;"Ägg, rom, kaviar";198;831;16.1;13.5;0.4;0;68.7;0;1;0.4;0.4;0;0;0;0;3.7;0;0;0;2.6;0.9;0;7.2;0.3;6.7;3.1;2.4;0.4;0.1;0;0;0.2;422.5;282.3;280.9;7;3.5;7.8;;0.06;0.42;0;3.37;0.1;63.5;2.24;0;206;50.3;2.1;59;149;12;162;0.5;29.6;1.4;11
"Ägg kokt eko.";4135;"Ägg, rom, kaviar";141;592;10.1;12.4;0.4;0;75.9;0;0.9;0.4;0.4;0;0;0;0;2.9;0;0;0;2.1;0.8;0;4;0.3;3.6;1.5;1.2;0.1;0.1;0;0;0.1;389.1;252.6;251.8;1;3.21;5.9;25.7;0.06;0.37;0;3.1;0.08;79.4;1.74;0;190;46.3;2;54;137;11;140;0.4;27.2;1.3;12
"Färs stekt m. salt";4183;"Kött";226;946;15.2;22.5;0;0;60.5;0;1.8;0;0;0;0;0;0;6.4;0;0;0.3;3.5;2.2;0;6.8;0.5;6.1;1;0.8;0.1;0;0;0;0;70;13.8;12.1;20;0.05;0.7;;0.31;0.21;5.76;9.85;0.22;2.2;1.31;0;207;37.1;2.2;10;268;25;366;0.9;8.1;5.3;0
"Pangasiusmal rå";4226;"Fisk, skaldjur";63;265;1.1;13.1;0;0;83.9;0;1.3;0;0;0;0;0;0;0.3;0;0;0;0.2;0.1;0;0.3;0;0.3;0.1;0.1;0;0;0;0;0;34.2;0;0;0;0;0.2;0;0.02;0.03;1.96;4.4;0.12;8.2;0.36;0;208;2;0.1;9;235;20;318;0.8;12.7;0.3;0
"Margarinost berikad";4227;"Quorn, sojaprotein, vegetariska produkter";265;1107;21;0;18.1;2.8;55;0;3.1;0;0;0;0;0;0;10.4;0.5;2.3;1;1.2;5.2;0.2;0.3;0;0;0.9;0.9;0;0;0;0;0;0;48.3;0;580;2;1.5;0.1;0;0.01;0;0;0.01;2.6;1.6;0;210;0;0.2;370;80;3;850;2.1;0;0;0
"Potatis Solist rå";4385;"Potatis";63;265;0.1;1;13.6;1.6;82.8;0;0.9;2.8;1.2;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.7;0;33;0;0.1;1.5;0.04;0.09;1.02;1.19;0.15;24.9;0;23.2;37;1.2;0.6;4;340;18;7;0;0;0.2;20
"Potatis Swift rå";4386;"Potatis";53;223;0.1;1.1;11;1.6;85.4;0;0.8;2.8;2.8;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;18;0;0.1;0.9;0.03;0.04;1.43;1.62;0.13;36.5;0;18.7;32;1.4;0.5;7;328;21;3;0;0;0.2;20
"Potatis Solist kokt m. salt";4415;"Potatis";77;322;0.1;1.4;16.4;1.9;79.3;0;0.9;3;1.3;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.7;0;32;0;0.2;2.1;0.03;0.08;0.94;1.17;0.14;28.5;0;20;38;2;0.8;4;348;20;43;0.1;0;0.2;0
"Potatis Swift kokt m. salt";4416;"Potatis";62;258;0.1;1.5;12.5;2.1;83;0;0.8;3.1;2.8;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;21;0;0.2;1.2;0.03;0.03;1.3;1.55;0.12;37;0;17.5;35;2.7;0.4;5;282;18;42;0.1;0;0.2;0
"Potatis Asterix rå";4445;"Potatis";74;310;0.1;1.8;14.7;3.1;79.5;0;0.8;0.8;0.6;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;2;0;0.1;0.5;0.08;0.03;1.66;2;0.22;22.8;0;18;41;0.1;0.4;5;370;25;3;0;0;0.3;20
"Nudlar risnudlar okokta";4447;"Pasta, ris, gryn";360;1507;0.6;3.4;83.2;1.6;11.9;0;0.8;0.3;0;0.3;0;0;0;0.2;0;0;0;0.1;0;0;0.2;0;0.2;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.03;0.02;0.22;0.79;0.02;3;0;0;153;3;0.7;18;30;12;182;0.5;15.1;0.7;0
"Nudlar risnudlar kokta";4448;"Pasta, ris, gryn";108;454;0.2;0.9;24.9;1;73.8;0;0.2;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.02;0;0.07;0.22;0.01;3;0;0;20;2;0.1;4;4;3;19;0;4.5;0.2;0
"Havtorn";4456;"Frukt, bär";65;270;3.2;1.5;5.7;3.6;85.5;0;0.5;2;2;0;0;0;0;1.1;0;0;0;1;0.1;0;2;1;1;0.9;0.6;0.3;0;0;0;0;0;106.7;0;860;0;3;13.5;0.18;0.07;0.26;0.5;0.13;10;0;140;20;0;0.1;5;160;5;2;0;10;0.1;0
"Potatis rå";4457;"Potatis";79;329;0.1;1.7;16.4;2.1;78.8;0;0.9;0.8;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;8;0;0.1;1.2;0.06;0.03;2.01;2.3;0.21;19.1;0;23.6;43;0.2;0.4;4;378;22;3;0;0;0.2;20
"Potatis kokt m. salt";4458;"Potatis";83;349;0.1;1.8;17.5;2.1;77.6;0;0.9;0.8;0.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;8;0;0.1;1.5;0.05;0.03;1.77;2.1;0.19;20.1;0;17.4;42;7.4;0.4;4;322;19;80;0.2;0;0.2;0
"Grönkålssallad";4504;"Grönsaker, baljväxter, svamp";129;538;7.9;1.9;11.4;2.5;74.6;0;1.7;9.6;7.5;2;0;3;0;1;0;0;0;0.8;0.2;0;4.4;0.1;4.3;1.8;1.6;0.3;0;0;0;0;0;97.3;0;1156;0;2;;0.08;0.06;0.89;1.23;0.12;52.9;0;42.4;46;42.3;0.5;58;230;17;310;0.8;0.1;0.3;22
"Kålrotslåda";4505;"Rätter";105;439;6.2;1.9;9;3.1;78.6;0;1.2;7.1;5.2;1.9;3;3;0;3.8;0.5;0.2;0.6;1.8;0.6;0;1.6;0.1;1.4;0.2;0.2;0;0;0;0;0;24.2;75;52.3;238;0.05;0.3;;0.04;0.05;1.11;1.44;0.13;30.8;0.09;25.4;45;32.2;0.3;52;148;11;287;0.7;0.8;0.2;0
"Potatis färsk kokt m. salt";4511;"Potatis";71;296;0.1;1.4;14.8;2;80.9;0;0.8;3;1.9;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3;0;27;0;0.2;1.7;0.03;0.06;1.09;1.3;0.13;32;0;19;37;2.4;0.6;4;320;19;43;0.1;0;0.2;0
"Potatis färsk rå";4512;"Potatis";59;247;0.1;1.1;12.5;1.6;83.9;0;0.8;2.8;1.9;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;0;27;0;0.1;1.2;0.04;0.07;1.19;1.4;0.14;29.7;0;21.3;35;1.3;0.6;5;335;20;5;0;0;0.2;0
"Potatis Inova rå";4513;"Potatis";66;274;0.1;1.9;13.1;1.8;82.2;0;0.8;0.9;0.7;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;2;0;0;0.7;0.06;0.02;1.22;1.5;0.22;18.3;0;20.3;36;0.3;0.3;4;334;23;2;0;0;0.2;20
"Potatis King Edward rå";4514;"Potatis";83;348;0.1;1.8;17.7;1.6;77.9;0;1;0.6;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;6;0;0.1;1.4;0.06;0.02;2.29;2.6;0.22;13.9;0;26.5;45;0.1;0.4;4;383;20;3;0;0;0.2;20
"Potatis mandelpotatis rå";4515;"Potatis";89;371;0.1;2.2;18.1;2.7;75.8;0;1;0.4;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;9;0;0;1.8;0.05;0.03;2.3;2.7;0.22;29.5;0;24.5;45;0;0.4;6;437;28;3;0;0.6;0.3;20
"Potatis kokt m. salt tillagad i storhushåll";4516;"Potatis";76;317;0.1;1.7;15.8;2.1;79.5;0;0.9;1;0.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;2;0;0.1;0.7;0.04;0.02;1.12;1.4;0.16;13.6;0;10.1;37;3.1;0.3;3;269;18;81;0.2;0;0.2;0
"Potatis Asterix kokt m. salt";4518;"Potatis";81;338;0.1;1.9;16.7;2.3;78.1;0;0.9;0.7;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;2;0;0.1;0.7;0.07;0.03;1.41;1.7;0.18;22.7;0;13.4;42;8.1;0.3;4;313;22;84;0.2;0;0.2;0
"Potatis Inova kokt m. salt";4519;"Potatis";74;310;0.1;1.8;15.2;2.2;79.8;0;0.9;0.9;0.7;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;1;0;0.1;1;0.04;0.02;1.1;1.4;0.19;17.9;0;15.2;39;7.3;0.3;4;316;24;91;0.2;0;0.2;0
"Potatis King Edward kokt m. salt";4520;"Potatis";84;352;0.1;1.8;17.8;2;77.4;0;0.9;0.5;0.2;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;6;0;0.1;1.7;0.05;0.02;2;2.3;0.2;15.2;0;18.5;42;8.8;0.4;4;312;17;92;0.2;0;0.2;0
"Potatis mandelpotatis kokt m. salt";4521;"Potatis";101;424;0.1;2.4;21.1;2.6;72.8;0;1.1;0.4;0.2;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;0;0.1;2.1;0.04;0.03;2.39;2.8;0.23;30.5;0;21;51;2.3;0.4;8;441;28;28;0.1;0;0.3;0
"Gratäng broccoligratäng m. cottage cheese tomat veg.";4579;"Rätter";92;385;4.8;9.2;2.4;1.1;80.7;0;1.6;2;1.2;0.8;0;0;0;2.7;0.3;0.1;0.4;1.3;0.4;0;1.3;0.1;1.2;0.4;0.2;0.1;0;0;0;0;49.2;90.4;60.8;353;0.14;1.3;;0.04;0.12;0.32;2.41;0.07;39.8;0.48;16.3;136;29.9;0.4;90;158;14;339;0.8;2.9;0.6;0
"Gris färs rå fett 15%";4583;"Kött";202;844;15.1;16.8;0;0;67.1;0;1;0;0;0;0;0;0;6.5;0;0;0.3;3.9;2.3;0;6.2;0.5;5.5;1.7;1.3;0.1;0;0;0;0.1;58;9;9;0;0.52;0.4;;0.73;0.25;5.8;8.88;0.43;2.1;0.63;0;191;0;1;7;345;25;61;0.1;7.5;2.6;0
"Hoki rå";4586;"Fisk, skaldjur";72;301;0.5;16.6;0;0;81.9;0;1.1;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0;0.2;0;0;0;0;0;0.1;43;3.8;3.8;0;0.24;0.3;0;0.03;0.02;1.56;4.6;0.09;18;0.54;0;173;4;0.1;11;315;29;134;0.3;42.6;0.3;0
"Aronia slånaronia";4588;"Frukt, bär";48;203;0.1;0.7;8.3;5.6;84.4;0;0.4;8.8;8.3;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144.8;0;1130;0;1.4;21.9;0.02;0.02;0.3;0.42;0.03;6.6;0;27.8;72;1.5;0.9;32;218;16;3;0;0;0.3;0
"Vinbär vita";4589;"Frukt, bär";54;227;0.2;1.4;9.5;4.3;84;0;0.7;7.4;6.8;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1;0;25;0;0.1;12.5;0.04;0.05;0.1;0.33;0.07;8.7;0;46.2;44;1.1;1;33;275;13;1;0;0.6;0.2;2
"Ris rundkornigt kokt m. salt";4591;"Pasta, ris, gryn";129;539;0.3;2.3;28.6;0.4;67.5;0;0.9;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;;0.05;0.01;0.46;0.86;0.04;1.9;0;0;35;37.7;0.1;1;22;10;291;0.7;0;0.4;0
"Pilgrimsmussla";4600;"Fisk, skaldjur";43;180;0.5;9.5;0;0;87.5;0;2;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0.2;0;0;0;0.1;0;0.1;12.6;1.1;1.1;0;0;0.7;0;0;0;0.49;2.2;0.04;11;0.59;0;467;4;0.2;4;113;18;552;1.4;9.7;0.8;0
"Laxbullar tillagade m. sås";4601;"Rätter";114;479;7.2;5.2;7.2;0;78.4;0;1.9;0.9;0.2;0.7;0;0;0;1.4;0.1;0;0.2;0.7;0.2;0;3.2;0.2;2.6;2;0.9;0.4;0;0.2;0.1;0.2;29.4;22.5;19.8;30;1.2;1.4;6.2;0.02;0.06;1.08;2;0.04;2;0.31;0;33;30;0.2;18;53;9;312;0.8;6.5;0.4;0
"Fiskpinnar ugnsstekta";4602;"Fisk, skaldjur";207;867;9.1;12.3;19;0;57.9;0;1.7;0.9;0.2;0.7;0;0;0;0.8;0;0;0;0.5;0.2;0;4.1;0;3.9;3.2;2.5;0.5;0;0.1;0;0.1;35;20.1;17.9;20;0.33;3.9;6.2;0.1;0.07;1.3;3.6;0.07;9.4;1.11;0;143;55;0.4;18;145;30;419;1;14.3;0.6;0
"Skarpsill";4607;"Fisk, skaldjur";152;635;9;17.6;0;0;74;0;2.2;0;0;0;0;0;0;2.4;0;0;0.4;1.7;0.2;0;3.2;0.5;2.4;2.3;0.3;0.2;0.1;0.5;0.1;0.8;110;276;276;0;20.3;0.8;2.1;0;0.15;4.39;7.6;0.27;17.6;10.4;0;381;59;1.6;157;246;31;68;0.2;22.6;2.7;30
"Sill inlagd u. lag";4608;"Fisk, skaldjur";235;982;12;9.8;21.9;0;53.1;0;3.3;18.9;1.6;17.3;19;19;0;2.5;0;0;0.8;1.5;0.1;0;5.4;0.6;1.4;2.5;0.2;0.1;0.1;0.7;0.1;0.9;56.9;11.8;11.8;0;12.3;0.6;0.3;0;0.09;1.06;2.8;0.06;0;7.44;0;66;57;0.6;19;61;14;1175;2.9;14.2;0.4;0
"Sill höstsill inlagd u. lag";4609;"Fisk, skaldjur";247;1034;12;11.7;23.1;0;50.3;0;2.9;19.3;2.4;16.9;19;19;0;2.5;0;0;0.8;1.5;0.1;0;5;0.6;1.4;2.9;0.2;0.1;0.1;0.8;0.1;1;48.1;14.2;14.2;0;10.1;0.5;0.6;0;0.08;1.04;3.2;0.07;0;6.06;0;68;64;0.6;17;62;13;1083;2.7;14.1;0.3;0
"Sill inlagd senapssill u. sås";4610;"Fisk, skaldjur";251;1051;17.8;7.8;15.2;0;55.8;0;3.4;15;1.2;13.8;15;15;0;2.1;0;0;0.5;1.2;0.2;0.1;9.4;0.3;6.5;4.5;2.1;1.2;0;0.4;0;0.5;37.4;18.5;8.2;124;11.4;4;11.5;0;0.11;1.26;2.7;0.07;0;5.93;0;69;33;0.6;25;70;19;1207;3;12.6;0.4;0
"Kapkummel rå";4611;"Fisk, skaldjur";73;305;0.6;16.6;0;0;82.7;0;1.1;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.2;0;0.1;0.2;0;0;0;0;0;0.1;48.4;3.1;3.1;0;0.43;0.2;0;0.05;0.03;1.43;4.5;0.08;12.5;0.95;0;176;8;0.1;13;342;34;144;0.4;22.1;0.3;0
"Guldsparid rå";4612;"Fisk, skaldjur";177;742;11.4;18.9;0;0;66.6;0;1.2;0;0;0;0;0;0;2.3;0;0;0.4;1.5;0.3;0;4;0.6;2.7;3.6;1;0.2;0.2;0.6;0.4;0.9;80.1;30.6;30.6;0;6.93;1.4;1.3;0.26;0.12;6.05;9.5;0.42;9.4;3.36;0;261;24;0.2;17;421;31;60;0.2;16;0.5;40
"Havsabborre rå";4613;"Fisk, skaldjur";134;560;6.2;19.5;0;0;71.3;0;1.1;0;0;0;0;0;0;1.2;0;0;0.2;0.8;0.2;0;2.3;0.3;1.6;2;0.6;0.2;0.1;0.3;0.1;0.5;69.5;23.9;23.9;0;4.74;1.6;1.9;0.38;0.14;4.95;8.5;0.37;9.5;3.06;0;233;19;0.3;32;368;30;63;0.2;15.9;0.5;60
"Alaska pollock rå";4615;"Fisk, skaldjur";76;318;0.5;17.6;0;0;82.4;0;0.9;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0;0.2;0;0;0;0.1;0;0.1;70.6;5;5;0;0;0.9;0;0.07;0.07;0.82;4;0.06;3.1;1.74;0;151;43.5;0.2;24;224;26;123;0.3;19;0.4;0
"Guldsparid grillad m. salt";4616;"Fisk, skaldjur";191;802;12.3;20.4;0;0;63.4;0;1.8;0;0;0;0;0;0;2.5;0;0;0.4;1.6;0.3;0;4.3;0.7;3;3.9;1;0.2;0.2;0.6;0.4;0.9;86.6;33.1;33.1;0;6.74;1.5;;0.26;0.11;6.54;10.27;0.25;8.6;2.18;0;282;53.5;0.3;19;364;34;283;0.8;17.3;0.5;40
"Havsabborre grillad m. salt";4617;"Fisk, skaldjur";146;609;6.7;21.2;0;0;68.2;0;1.7;0;0;0;0;0;0;1.3;0;0;0.2;0.9;0.2;0;2.5;0.3;1.8;2.2;0.6;0.2;0.1;0.3;0.1;0.5;75.6;26;26;0;4.64;1.7;;0.39;0.12;5.38;9.24;0.22;8.8;2;0;254;48.3;0.3;36;320;33;288;0.8;17.3;0.6;60
"Olivolja extra jungfruolja";4659;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;13.8;0;0;0;10.3;2.9;0.4;73.8;0.9;72;7.9;7.3;0.7;0;0;0;0;0;8.3;0;96;0;21.1;44.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rapsolja kallpressad";4661;"Fett, olja";884;3700;100;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0.1;4.1;1.7;0.6;61.6;0.2;59.6;27;18.2;8.7;0;0;0;0;0;10.2;0;122;0;25.5;73.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Flytande matfettsblandning fett 80% berikad typ Arla smör- och rapsolja";4662;"Fett, olja";711;2974;80;0.5;0.3;0;18;0;1.2;0.8;0;0.8;0;0;0;12.2;0.8;0.3;0.9;7.2;2;0.5;43.8;0.3;42.1;20.6;13.8;6.7;0;0;0;0;0;98.6;84.7;133;20;15.6;76.7;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;500;1.2;0;0;0
"Matfettsblandning fett 43% berikad typ Bregott mindre";4663;"Fett, olja";403;1684;43;0.5;5;0;50.5;0;1;0.5;0;0.5;0;0;0;18;2.6;0.8;2.6;8.1;2.8;0.1;16.7;0.4;15.6;6;4.2;1.8;0;0;0;0;0;893;881;144;20;4.7;22;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;400;1;0;0;0
"Pastasås m. tonfisk curry";4736;"Rätter";80;337;3.6;7.9;3.6;1.1;82.7;0;1.3;3.1;2.3;0.8;0;0;0;1.6;0.2;0.1;0.2;0.8;0.3;0;1.2;0.1;1.1;0.5;0.3;0.1;0;0;0;0.1;21.7;49.4;20.8;343;0.93;1.2;;0.05;0.05;3.88;5.35;0.17;18.1;0.52;16.3;94;29.1;0.8;36;223;20;270;0.7;21.8;0.5;1
